adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Platform_ORF,GO.Function,GO.Process,GO.Component,Chromosome.annotation,EGEOD,Organism,Species,Strain,StudyType,AssayType,Gen,meta_data
0.982744074,0.01482588,-3.576130638,-2.563688958,-2.844344762,ybhK///ybhK///ECs0858,hypothetical protein///structural protein///structural protein,Z0999,protein binding,,,"NC_004431.1 (838360..839328, complement)///NC_002655.2 (939757..940665, complement)///NC_002695.1 (938104..939012, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.995281119,0.015382029,3.542457907,-2.59584567,2.693278802,yiaL,hypothetical protein,c4397,,response to radiation,cytosol,NC_004431.1 (4181289..4181753),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.016437399,3.482187342,-2.653964092,1.428538011,narH,respiratory nitrate reductase 1 subunit beta,c1686,"protein binding///nitrate reductase activity///electron transfer activity///electron transfer activity///iron-sulfur cluster binding///3 iron, 4 sulfur cluster binding///4 iron, 4 sulfur cluster binding",anaerobic respiration///anaerobic respiration///nitrate metabolic process,membrane///membrane///intrinsic component of membrane///intrinsic component of the cytoplasmic side of the plasma membrane///NarGHI complex,NC_004431.1 (1522281..1523819),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.016449149,-3.481541123,-2.654591133,-1.166259021,wzzB,chain length determinant protein,c2554,protein tyrosine kinase activity,,plasma membrane,"NC_004431.1 (2385469..2386482, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.016838234,-3.460432728,-2.675118482,-3.054528226,ygjQ///ECs3968,hypothetical protein///hypothetical protein,Z4439,,,plasma membrane///integral component of plasma membrane,NC_002655.2 (4043386..4044078)///NC_002695.1 (3976171..3976863),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.017163817,3.443188023,-2.691953813,1.733124495,metH///metH,B12-dependent methionine synthase///B12-dependent methionine synthase,Z5610,zinc ion binding///protein methyltransferase activity///methionine synthase activity///methionine synthase activity///cobalamin binding,methionine biosynthetic process///tetrahydrofolate interconversion///homocysteine metabolic process,cytoplasm///cytosol///cytosol,NC_002655.2 (5100974..5104657)///NC_002695.1 (5032229..5035912),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.017899244,-3.405556841,-2.728895198,-2.353240028,pepP,proline aminopeptidase P II,c3490,aminopeptidase activity///protein binding///metalloexopeptidase activity///manganese ion binding///identical protein binding,,cytosol,"NC_004431.1 (3349467..3350792, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.017918109,-3.404614587,-2.729823757,-3.282679607,yfiE///ECs3443,LysR family transcriptional regulator///LysR family transcriptional regulator,Z3860,,"transcription, DNA-templated",,"NC_002655.2 (3504475..3505401, complement)///NC_002695.1 (3434636..3435517, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.018208779,-3.390235953,-2.744015044,-2.016907618,metF,"5,10-methylenetetrahydrofolate reductase",c4899,methylenetetrahydrofolate reductase (NAD(P)H) activity///methylenetetrahydrofolate reductase (NAD(P)H) activity///FAD binding///FAD binding,one-carbon metabolic process///methionine biosynthetic process///tetrahydrofolate interconversion///tetrahydrofolate biosynthetic process///protein homotetramerization,cytosol,NC_004431.1 (4659627..4660517),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.019722357,3.319315796,-2.814603562,2.494164312,artJ///ECs0943,arginine ABC transporter substrate-binding protein///arginine ABC transporter substrate-binding protein,Z1090,amino acid binding///arginine binding,arginine transport///L-arginine import across plasma membrane,outer membrane-bounded periplasmic space///periplasmic space,"NC_002655.2 (1030100..1030882, complement)///NC_002695.1 (1028441..1029172, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.020444054,-3.287623728,-2.846464344,-1.096768519,glpK,glycerol kinase,c4878,glycerol kinase activity///protein binding///zinc ion binding///identical protein binding///metal ion binding,glycerol metabolic process///glycerol metabolic process///cellular response to DNA damage stimulus///phosphorylation///glycerol catabolic process,cytosol///cytosol,"NC_004431.1 (4635408..4637021, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.021087524,-3.260408081,-2.873980129,-0.971056421,ssuB,aliphatic sulfonates transport ATP-binding subunit,c1076,ATP binding///ATP binding///alkanesulfonate transmembrane transporter activity///alkanesulfonate transmembrane transporter activity,sulfur compound metabolic process///alkanesulfonate transport,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing","NC_004431.1 (1044217..1044984, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.02234129,-3.209957964,-2.925363692,-1.444940179,metE,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,c4751,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity///protein binding///protein methyltransferase activity///methionine synthase activity,methionine biosynthetic process///tetrahydrofolate interconversion///homocysteine metabolic process,cytosol,NC_004431.1 (4517353..4519614),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.025457722,3.097156454,-3.042001234,0.462623261,cydD///cydD///cydD///ECs0972,cysteine/glutathione ABC transporter membrane/ATP-binding component///cysteine/glutathione ABC transporter membrane/ATP-binding protein///glutathione/cysteine ABC transporter export permease/ATPase///cysteine/glutathione ABC transporter membrane/ATP-binding protein,b0887,ATPase activity///ATPase-coupled transmembrane transporter activity///ATPase-coupled transmembrane transporter activity,cysteine export across plasma membrane///glutathione transmembrane transport///cell redox homeostasis,plasma membrane///plasma membrane///integral component of plasma membrane///membrane///integral component of membrane///ATP-binding cassette (ABC) transporter complex,"NC_004431.1 (983325..985091, complement)///NC_002655.2 (1149496..1151262, complement)///NC_000913.3 (929196..930962, complement)///NC_002695.1 (1060273..1062039, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.02695975,-3.04817181,-3.093391092,-1.410108599,abrB///ECs0740,transporter///transporter,Z0867,,,plasma membrane,"NC_002655.2 (825023..826114, complement)///NC_002695.1 (823369..824460, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.027068107,-3.044756196,-3.096990847,-1.760338235,nrfE///ECs5056,heme lyase subunit NrfE///heme lyase subunit NrfE,Z5673,,cytochrome c-heme linkage via heme-L-cysteine,plasma membrane,NC_002655.2 (5174646..5176304)///NC_002695.1 (5144661..5146319),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.027688386,3.025492007,-3.117333382,0.488996664,ydcV///Z2276///ydcV///ECs2047,ABC transporter permease///transport system permease///putative ABC transporter permease///ABC transporter permease,c1867,,DNA import into cell involved in transformation,plasma membrane,"NC_004431.1 (1705056..1705700)///NC_002655.2 (2057154..2057948, complement)///NC_000913.3 (1514762..1515556)///NC_002695.1 (2030525..2031319)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.028941337,2.988001297,-3.157115068,2.016075417,hisP///ECs3190,histidine/lysine/arginine/ornithine transporter subunit///histidine/lysine/arginine/ornithine transporter subunit,Z3568,high-affinity L-histidine transmembrane transporter activity///ATP binding,histidine transport///L-histidine transmembrane transport///L-histidine import across plasma membrane,ATP-binding cassette (ABC) transporter complex,"NC_002655.2 (3219862..3220635, complement)///NC_002695.1 (3149907..3150680, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.029833892,-2.962376871,-3.184450035,-0.561192095,yqhH///yqhH///yqhH///ECs3899,"outer membrane lipoprotein///outer membrane lipoprotein///outer membrane lipoprotein, Lpp paralog///outer membrane lipoprotein",b3014,peptidoglycan binding,,intrinsic component of cell outer membrane,NC_004431.1 (3580272..3580529)///NC_002655.2 (3966292..3966549)///NC_000913.3 (3158627..3158884)///NC_002695.1 (3898978..3899235),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.031151835,-2.926053756,-3.223396438,-1.883328278,rarD,protein rarD,c4740,,,plasma membrane///plasma membrane///integral component of membrane///integral component of membrane,"NC_004431.1 (4507717..4508607, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.03135221,2.92068064,-3.22917718,1.977668488,hrpA///ECs2015,ATP-dependent RNA helicase HrpA///ATP-dependent RNA helicase HrpA,Z2313,RNA helicase activity///helicase activity///3'-5' RNA helicase activity,mRNA processing///mRNA processing///RNA modification,,"NC_002655.2 (2085685..2089530, complement)///NC_002695.1 (1998948..2002793)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.03154254,-2.915611958,-3.234634984,-0.726742269,yphB///yphB///yphB///ECs3410,"hypothetical protein///hypothetical protein///mutarotase superfamily protein, YphB family///hypothetical protein",b2544,aldose 1-epimerase activity,glucose metabolic process///cellular response to DNA damage stimulus///galactose catabolic process via UDP-galactose,cytoplasm,"NC_004431.1 (2936797..2937669, complement)///NC_002655.2 (3464155..3465027, complement)///NC_000913.3 (2673816..2674688, complement)///NC_002695.1 (3394317..3395189, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.032773039,-2.883637727,-3.269165895,-1.037838951,bglX///ECs3019,beta-D-glucoside glucohydrolase///beta-D-glucoside glucohydrolase,Z3381,beta-glucosidase activity///beta-glucosidase activity///glucosidase activity,glucan catabolic process,outer membrane-bounded periplasmic space///periplasmic space,"NC_002655.2 (3019872..3022169, complement)///NC_002695.1 (2948605..2950902, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.032807109,-2.882771397,-3.270103933,-0.863929188,rtcR///ECs4265,2-component regulator///2-component regulator,Z4780,DNA-binding transcription factor activity,"positive regulation of transcription, DNA-templated",,NC_002655.2 (4338437..4340035)///NC_002695.1 (4271215..4272813),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.033576424,-2.863469604,-3.291036388,-3.48646979,frwB///ECs4879,PTS system fructose-like transporter subunit EIIB///PTS system fructose-like transporter subunit EIIB,Z5506,protein-phosphocysteine-D-fructose-phosphotransferase system transporter activity,phosphoenolpyruvate-dependent sugar phosphotransferase system///phosphoenolpyruvate-dependent sugar phosphotransferase system///phosphoenolpyruvate-dependent sugar phosphotransferase system,plasma membrane,NC_002655.2 (5019272..5019592)///NC_002695.1 (4950506..4950826),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.03494282,2.830361107,-3.327087729,2.546510426,thiM,hydroxyethylthiazole kinase,c2631,hydroxyethylthiazole kinase activity///identical protein binding,thiamine salvage,cytosol,"NC_004431.1 (2475185..2475973, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.035542892,-2.816269306,-3.342487239,-0.418640047,trpB///trpB///ECs1833,"tryptophan synthase subunit beta///tryptophan synthase, beta subunit///tryptophan synthase subunit beta",b1261,tryptophan synthase activity///tryptophan synthase activity///pyridoxal phosphate binding///identical protein binding,tryptophan biosynthetic process///tryptophan biosynthetic process///aromatic amino acid family biosynthetic process,cytoplasm///cytoplasm///cytosol,"NC_002655.2 (2267742..2268935)///NC_000913.3 (1317222..1318415, complement)///NC_002695.1 (1818242..1819435, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.035627543,2.814302525,-3.344639129,2.788402128,yihV,sugar kinase yihV,c4825,6-deoxy-6-sulfofructose kinase activity,carbohydrate phosphorylation///carbohydrate phosphorylation///6-sulfoquinovose(1-) catabolic process to glycerone phosphate and 3-sulfolactaldehyde///6-sulfoquinovose(1-) catabolic process,cytosol,"NC_004431.1 (4589784..4590731, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.036068524,2.804139223,-3.355769049,0.399350676,fbp///fbp///fbp///ECs5209,"fructose-1,6-bisphosphatase///fructose-1,6-bisphosphatase///fructose-1,6-bisphosphatase I///fructose-1,6-bisphosphatase",b4232,"fructose 1,6-bisphosphate 1-phosphatase activity///fructose 1,6-bisphosphate 1-phosphatase activity","sucrose biosynthetic process///fructose metabolic process///fructose 6-phosphate metabolic process///gluconeogenesis///gluconeogenesis///fructose 1,6-bisphosphate metabolic process///protein homotetramerization",cytoplasm///cytosol///cytosol,"NC_004431.1 (5071657..5072718, complement)///NC_002655.2 (5340077..5341075, complement)///NC_000913.3 (4454611..4455609, complement)///NC_002695.1 (5310091..5311089, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.036153848,-2.802188552,-3.35790717,-0.648805069,bglA///bglA///ECs3773,6-phospho-beta-glucosidase///6-phospho-beta-glucosidase A///6-phospho-beta-glucosidase,b2901,beta-glucosidase activity///glucosidase activity,carbohydrate catabolic process///carbohydrate catabolic process,cytosol///cytosol,NC_002655.2 (3849000..3850439)///NC_000913.3 (3043662..3045101)///NC_002695.1 (3781692..3783131),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.036718539,2.789405005,-3.371934408,2.307082527,yjiH,hypothetical protein,c5410,,,plasma membrane,"NC_004431.1 (5153920..5154615, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.037113407,-2.780593719,-3.381618261,-2.260220881,prpB///prpB,2-methylisocitrate lyase///2-methylisocitrate lyase,Z0427,magnesium ion binding///methylisocitrate lyase activity///methylisocitrate lyase activity,"propionate catabolic process, 2-methylcitrate cycle///propionate catabolic process, 2-methylcitrate cycle",,NC_002655.2 (405383..406273)///NC_002695.1 (405381..406271),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.037420168,-2.773819328,-3.389071961,-1.904072232,alkA,3-methyl-adenine DNA glycosylase,c2595,alkylbase DNA N-glycosylase activity///protein binding///DNA-3-methyladenine glycosylase activity///alkylated DNA binding///DNA-7-methylguanine glycosylase activity,"DNA repair///base-excision repair///base-excision repair, AP site formation///DNA dealkylation involved in DNA repair///DNA dealkylation involved in DNA repair///cellular response to DNA damage stimulus",cytoplasm///cytoplasm///protein-DNA complex,"NC_004431.1 (2434020..2434868, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.03762549,-2.769319088,-3.39402751,-2.198651553,pheP///ECs0614,phenylalanine transporter///phenylalanine transporter,Z0715,,phenylalanine transport,plasma membrane,NC_002655.2 (684270..685646)///NC_002695.1 (684488..685864),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.038554728,2.749283886,-3.416128652,0.683403316,wzc,colanic acid production tyrosine-protein kinase; autokinase; Ugd phosphorylase,b2060,protein tyrosine kinase activity///protein tyrosine kinase activity///ATPase activity,colanic acid biosynthetic process///peptidyl-tyrosine phosphorylation///peptidyl-tyrosine autophosphorylation,plasma membrane///plasma membrane///integral component of plasma membrane///membrane,"NC_000913.3 (2133490..2135652, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.03863035,-2.747676794,-3.417904193,-0.68209675,srlE///srlE_1///srlE,"PTS system, glucitol/sorbitol-specific IIBC component///PTS system, glucitol/sorbitol-specific IIB component and second of two IIC components; frag///glucitol/sorbitol-specific enzyme IIB component of PTS",Z4007,protein-phosphocysteine-sugar phosphotransferase activity///protein-phosphocysteine-sugar phosphotransferase activity,phosphoenolpyruvate-dependent sugar phosphotransferase system///phosphoenolpyruvate-dependent sugar phosphotransferase system///phosphoenolpyruvate-dependent sugar phosphotransferase system,plasma membrane///plasma membrane///integral component of plasma membrane,NC_004431.1 (3108861..3109820)///NC_002655.2 (3617609..3617815)///NC_000913.3 (2826392..2827351),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.03888282,-2.742336261,-3.423807401,-1.444181102,recC,exonuclease V subunit gamma,c3416,protein binding///exodeoxyribonuclease V activity,double-strand break repair via homologous recombination///DNA recombination///DNA recombination///DNA recombination///response to radiation///clearance of foreign intracellular DNA,exodeoxyribonuclease V complex,"NC_004431.1 (3266380..3269748, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.039011878,2.739620965,-3.426810483,1.92850339,murP,PTS system N-acetylmuramic acid transporter subunits EIIBC,c2962,protein-phosphocysteine-N-acetylmuramate phosphotransferase system transporter activity///protein-phosphocysteine-N-acetylmuramate phosphotransferase system transporter activity///protein-phosphocysteine-N-acetylmuramate phosphotransferase system transporter activity,phosphoenolpyruvate-dependent sugar phosphotransferase system///phosphoenolpyruvate-dependent sugar phosphotransferase system///phosphoenolpyruvate-dependent sugar phosphotransferase system///carbohydrate transmembrane transport///carbohydrate transmembrane transport,plasma membrane///plasma membrane///integral component of plasma membrane///membrane,NC_004431.1 (2825592..2827016),GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.039496468,-2.72951269,-3.438000152,-1.05916506,hofB///ECs0111,hypothetical protein///hypothetical protein,Z0117,ATPase activity,,plasma membrane,"NC_002655.2 (120204..121589, complement)///NC_002695.1 (120203..121588, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.039676225,2.725797602,-3.442116649,0.438283194,ppdC///ppdC///ppdC///ECs3680,hypothetical protein///hypothetical protein///putative prepilin peptidase-dependent protein///hypothetical protein,b2823,,,integral component of plasma membrane,"NC_004431.1 (3269761..3270084, complement)///NC_002655.2 (3752139..3752462, complement)///NC_000913.3 (2962441..2962764, complement)///NC_002695.1 (3684841..3685164, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.039775052,-2.723762971,-3.444372018,-1.525347714,yjiJ///ECs5293,transporter///transporter,Z5933,,,plasma membrane///plasma membrane,"NC_002655.2 (5451915..5453093, complement)///NC_002695.1 (5421911..5423089, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.040704221,-2.704899974,-3.465311586,-0.993048643,hipA,protein hipA,c1940,magnesium ion binding///transcription regulatory region sequence-specific DNA binding///transcription regulatory region sequence-specific DNA binding///DNA-binding transcription repressor activity///DNA-binding transcription repressor activity///protein serine/threonine kinase activity///protein serine/threonine kinase activity///protein binding///ATP binding///sequence-specific DNA binding,dormancy process///peptidyl-serine autophosphorylation///negative regulation of catalytic activity///single-species biofilm formation,cytosol///cytosol///protein-DNA complex///protein-DNA complex///protein-DNA complex,"NC_004431.1 (1781779..1783197, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
0.998974958,0.041046518,-2.698069608,-3.472907192,-1.40056526,cobT///cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase///nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,b1991,nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity,cobalamin biosynthetic process///cobalamin biosynthetic process,,"NC_004431.1 (2318276..2319355, complement)///NC_000913.3 (2063388..2064467, complement)",GSE40648,Bacteria,escherichia coli,K12,RPM,Microarray,0,2
