,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene.symbol,Platform_ORF,EGEOD,Organism,Species,Strain,StudyType,AssayType,Gen,meta_data
49,1.018367962,7.140188461,5.225645017,0.000789723,0.028666076,-0.149341093,cdd,gene:SMU_1122,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
50,1.436931307,8.581030577,5.221444032,0.000793782,0.028666076,-0.155986989,deoC,gene:SMU_1123,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
53,2.09680095,15.60410726,5.177231568,0.000837913,0.028666076,-0.229936112,RNaseP_bact_b,gene:EBG00001212976,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
61,-1.375241893,7.212257693,-5.109248884,0.000911093,0.028666076,-0.284852964,psaB,gene:SMU_1928,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
63,-0.904541419,8.490983986,-5.087336565,0.000936146,0.028666076,-0.313861832,dfrA,gene:SMU_947,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
73,-0.921361939,5.681397951,-4.959968326,0.001097517,0.029450686,-0.440339869,citC,gene:SMU_1010,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
80,1.307490096,12.82408501,4.796556137,0.001350535,0.031348305,-0.591253657,fbaA,gene:SMU_99,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
82,1.235857743,11.17205749,4.800555009,0.001343634,0.031348305,-0.595559732,ptsG,gene:SMU_2047,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
83,2.183413771,3.486633982,4.798274978,0.001347564,0.031348305,-0.598626894,ptcA,gene:SMU_1598,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
85,-0.993208841,8.58796768,-4.834209571,0.001287056,0.031249895,-0.629119119,comD,gene:SMU_1916,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
86,1.500659676,5.928406878,4.776355905,0.001385989,0.031589422,-0.681577219,sgaT,gene:SMU_270,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
90,-1.68522907,5.451762094,-4.721892529,0.001486724,0.032592297,-0.730573831,argD,gene:SMU_666,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
94,-0.925640429,8.669837323,-4.692676145,0.001544023,0.03283828,-0.81046665,trkH,gene:SMU_1709,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
95,-0.989276317,5.610597232,-4.662155433,0.001606453,0.032982297,-0.814378466,metB,gene:SMU_1675,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
96,-1.537482991,7.920662028,-4.682509734,0.00156452,0.03283828,-0.827967881,topA,gene:SMU_1002,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
100,-1.527558656,6.618867654,-4.630782994,0.001673496,0.032991834,-0.878843744,mvaA,gene:SMU_942,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
105,-1.542130925,7.971265752,-4.602947184,0.00173553,0.033244662,-0.931775132,nrdG,gene:SMU_667,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
106,2.309624581,5.938928533,4.552749656,0.001853802,0.03420977,-0.967334147,celR,gene:SMU_1599,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
107,-1.014369877,9.298495326,-4.552194744,0.001855157,0.03420977,-0.972338941,pyrA,gene:SMU_859,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
108,-0.943516739,5.626332344,-4.520834038,0.00193353,0.03420977,-0.998608906,ftsL,gene:SMU_454,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
109,1.228978099,8.587812696,4.54264562,0.00187865,0.03420977,-1.022611671,upp,gene:SMU_1673,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
113,1.605191483,14.57320502,4.407275323,0.00224879,0.036973855,-1.065073737,gapC,gene:SMU_360,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
123,-1.782049707,3.447848241,-4.312548197,0.002554475,0.037333173,-1.21125163,argB,gene:SMU_665,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
124,0.706503013,7.550199262,4.399704825,0.002271702,0.037041892,-1.21516476,proB,gene:SMU_449,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
129,1.747233961,11.89772914,4.253792135,0.00276646,0.038307047,-1.270222412,ptsH,gene:SMU_674,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
130,1.479170698,8.422593827,4.35358069,0.002416874,0.037333173,-1.277228231,acp,gene:SMU_1743,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
142,1.033868592,9.306295157,4.257003938,0.002754394,0.038307047,-1.383443709,rmlA,gene:SMU_1461,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
144,1.409381753,4.970859109,4.209239304,0.00293985,0.039213366,-1.392198589,bglB1,gene:SMU_981,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
151,0.827070945,9.973676423,4.186783594,0.003031656,0.039213366,-1.438599059,gbpA,gene:SMU_2112,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
153,0.755563306,8.467795446,4.231553502,0.002851586,0.038535472,-1.44746428,murF,gene:SMU_603,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
154,0.90336272,7.174061062,4.204965838,0.002957087,0.039213366,-1.477528675,mutT,gene:SMU_814,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
158,0.963156328,5.991785446,4.161499944,0.003138739,0.039213366,-1.501079634,bgl,gene:SMU_1601,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
159,0.726223308,8.612653607,4.189218117,0.003021555,0.039213366,-1.503634442,opuCd,gene:SMU_2119,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
162,1.535474169,9.37577961,4.146517859,0.003204111,0.039213366,-1.527217676,malX,gene:SMU_1568,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
164,1.288843886,10.48306736,4.081060102,0.003507426,0.040233439,-1.550518839,ccpA,gene:SMU_1591,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
167,1.001290777,6.123929523,4.119968633,0.003323584,0.039401038,-1.563288552,bcc,gene:SMU_1016,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
168,1.827216559,6.040169418,4.113162489,0.003354979,0.039401038,-1.565863804,ptcC,gene:SMU_1596,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
170,1.067907804,8.425239648,4.141434656,0.003226622,0.039213366,-1.571983397,scrR,gene:SMU_1844,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
172,-1.009110534,8.132367216,-4.126902626,0.003291925,0.039363439,-1.583059542,wapE,gene:SMU_1091,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
176,-1.308171016,3.049775294,-4.007508451,0.003885542,0.041663994,-1.605758963,arcC,gene:SMU_265,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
180,1.422210266,11.85940912,3.941409318,0.004262863,0.043156391,-1.68431139,pgm,gene:SMU_1077,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
181,-0.898119945,7.939393563,-4.052830648,0.003647649,0.040425439,-1.689897902,recJ,gene:SMU_1472,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
188,0.857599875,8.794283912,4.021154353,0.003812208,0.041663994,-1.733555962,bglA,gene:SMU_985,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
191,0.89042935,8.992138128,4.008775859,0.003878668,0.041663994,-1.74358051,scrA,gene:SMU_1841,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
195,-1.47565469,4.26922302,-3.918266219,0.004404117,0.04339466,-1.765668329,argJ,gene:SMU_664,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
203,1.023075675,6.982136153,3.931053799,0.004325458,0.043156391,-1.856904181,treA,gene:SMU_2037,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
212,-1.529824775,8.148347251,-3.885548985,0.004612435,0.044118002,-1.91392273,comE,gene:SMU_1917,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
216,-0.710303534,7.535262278,-3.879190365,0.004654135,0.044118002,-1.935153729,greA,gene:SMU_1728,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
217,-1.338407654,6.673520074,-3.857523085,0.004799288,0.044173998,-1.938805124,dinF,gene:SMU_121,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
219,1.180092624,8.681888768,3.865388914,0.00474604,0.044118002,-1.95639196,scrB,gene:SMU_1843,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
220,0.793229696,6.428401374,3.846022215,0.004878297,0.044173998,-1.959667609,rimM,gene:SMU_867,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
223,-0.83716146,4.636805438,-3.782153056,0.005343171,0.045439986,-1.967682641,lspA,gene:SMU_853,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
224,1.306085604,11.3442925,3.74126651,0.00566548,0.046517838,-1.976633856,oppA,gene:SMU_255,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
226,-0.835887562,2.622011114,-3.725217257,0.005797618,0.046517838,-1.980141878,mutG,gene:SMU_657,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
228,1.037154564,10.3632397,3.770791787,0.005430718,0.045868868,-1.988475349,dnaE,gene:SMU_1192,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
230,-1.435172992,0.607057279,-3.666983048,0.006305389,0.048786404,-1.995632718,Spd-sr37,gene:EBG00001213037,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
233,1.53442638,9.723902648,3.793809456,0.005254916,0.045439986,-2.000201277,apbE,gene:SMU_1088,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
236,0.961506513,8.67453121,3.83346095,0.004966186,0.044741027,-2.003578347,uvrB,gene:SMU_809,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
238,1.248211618,7.513670291,3.808444572,0.00514631,0.045328547,-2.040335113,pgsA,gene:SMU_2151,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
243,2.413906874,3.554113917,3.692053693,0.0060812,0.047611938,-2.055870819,ptcB,gene:SMU_1600,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
244,0.946572511,8.958849232,3.786019312,0.005313724,0.045439986,-2.062057258,malQ,gene:SMU_1565,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
248,2.048343469,9.985297502,3.726675483,0.005785477,0.046517838,-2.072822827,glgB,gene:SMU_1539,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
254,-0.929039832,8.037057438,-3.72777556,0.005776336,0.046517838,-2.152586572,pcrA,gene:SMU_1174,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
255,-0.824950283,7.945009453,-3.723979739,0.005807943,0.046517838,-2.16021382,cysD,gene:SMU_1173,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
256,-1.232388061,7.129685755,-3.713433144,0.005896733,0.046912318,-2.160284843,gid,gene:SMU_1003,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
257,-0.768901083,9.725822087,-3.646855875,0.006491746,0.049644246,-2.20331757,dltD,gene:SMU_1688,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
261,1.186700728,14.40156516,3.479593745,0.008287142,0.054501774,-2.245263097,dpr,gene:SMU_540,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
268,0.786400555,10.17412948,3.571655937,0.007241627,0.050677232,-2.287360871,gyrA,gene:SMU_1114,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
275,0.700591531,8.257704103,3.626209651,0.00668902,0.050179109,-2.310590318,feoB,gene:SMU_570,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
276,0.71298514,6.064234638,3.591208001,0.007038185,0.050677232,-2.31310197,aldR,gene:SMU_1308,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
277,-1.317960398,6.798240416,-3.597400942,0.006975021,0.050677232,-2.318557103,nusG,gene:SMU_1947,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
278,0.593630538,9.103029846,3.597607969,0.00697292,0.050677232,-2.329055804,aroC,gene:SMU_780,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
279,-0.83423387,8.825873972,-3.58831257,0.007067925,0.050677232,-2.336041873,pyrB,gene:SMU_858,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
283,1.091592759,7.619782553,3.588905116,0.007061828,0.050677232,-2.360954764,mleR,gene:SMU_135,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
287,0.739503081,8.831790845,3.571090321,0.007247605,0.050677232,-2.380367964,pepX,gene:SMU_395,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
289,0.851568592,7.441984026,3.569073745,0.007268959,0.050677232,-2.388583687,adcC,gene:SMU_1994,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
290,-0.976291189,12.90999814,-3.399409489,0.009328432,0.056112792,-2.394215851,spaP,gene:SMU_610,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
292,-1.482151918,7.013900419,-3.544395628,0.007535774,0.051446648,-2.400952847,pyrK,gene:SMU_1224,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
300,-0.640258217,4.908030012,-3.463337262,0.008487842,0.054961943,-2.436440683,citG,gene:SMU_1011,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
308,-1.314498815,5.697845314,-3.442945045,0.00874691,0.05549085,-2.500332058,tgt,gene:SMU_300,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
309,-1.198122459,10.04913427,-3.422522807,0.009014769,0.055931257,-2.503841587,rpoA,gene:SMU_2001,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
318,-0.547178361,7.591885604,-3.463390695,0.008487174,0.054961943,-2.543236466,rgpC,gene:SMU_827,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
320,0.580995785,8.64090923,3.454834311,0.008594864,0.055236697,-2.55803161,proA,gene:SMU_450,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
321,-0.701430446,8.035066524,-3.452197122,0.008628346,0.055271841,-2.559631869,livG,gene:SMU_1666,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
322,-0.81981838,8.300326618,-3.447635104,0.008686594,0.055464885,-2.560057356,htpX,gene:SMU_1929,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
323,-0.649946866,9.035364372,-3.430500731,0.008909111,0.055752083,-2.563230252,pbp2x,gene:SMU_455,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
324,-0.679147584,6.710114388,-3.432391108,0.008884268,0.055752083,-2.566201473,hemK,gene:SMU_1084,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
327,0.777352591,7.861436267,3.428962884,0.008929376,0.055752083,-2.599400319,adcA,gene:SMU_1302,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
329,-0.748315165,8.255031917,-3.415416357,0.009110003,0.056082652,-2.610003432,livM,gene:SMU_1667,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
340,-0.799609172,8.273164327,-3.356605514,0.009940182,0.058894835,-2.696472641,livH,gene:SMU_1668,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
346,1.744373493,1.445545584,3.166707324,0.013211106,0.066975035,-2.721543032,lacA,gene:SMU_1496,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
347,0.521939642,8.332744788,3.344727475,0.010117354,0.059586684,-2.726853408,recM,gene:SMU_598,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
348,-0.944498072,5.51499148,-3.282802652,0.011096566,0.062197513,-2.730616425,citZ,gene:SMU_671,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
349,0.679422489,8.705004035,3.332582563,0.010301957,0.06011226,-2.738463853,ung,gene:SMU_1215,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
351,0.949361678,9.580666929,3.293100508,0.01092704,0.061693815,-2.745524839,prs,gene:SMU_23,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
353,-0.717509149,6.752760207,-3.30505056,0.010733731,0.061158625,-2.756468193,comEB,gene:SMU_1849,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
354,0.793845673,10.06075528,3.253927324,0.011586858,0.063771209,-2.762153874,ackA,gene:SMU_1978,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
357,-0.72417761,7.779523595,-3.308340256,0.010681151,0.061083798,-2.774739315,pepP,gene:SMU_1850,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
358,-0.892337771,7.89764057,-3.303648054,0.010756231,0.061158625,-2.779908908,queA,gene:SMU_634,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
359,-0.632565703,10.73428669,-3.203852314,0.01249192,0.065724158,-2.782097335,opuAb,gene:SMU_1062,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
364,-0.668086131,9.145721661,-3.252965302,0.01160358,0.063771209,-2.821153088,covS,gene:SMU_1516,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
366,-0.586581788,9.926768141,-3.212859399,0.012323801,0.065362525,-2.827897353,clpX,gene:SMU_949,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
372,-0.886529305,5.99350344,-3.21660177,0.012254649,0.065170951,-2.853664109,hsdS,gene:SMU_892,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
376,0.838008904,10.97487931,3.136673943,0.01382432,0.068359358,-2.862185315,ppaC,gene:SMU_1687,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
389,0.624642526,5.944589761,3.179728134,0.012954178,0.066248216,-2.916061061,trpA,gene:SMU_538,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
391,-1.274554825,7.66895977,-3.204005655,0.012489038,0.065724158,-2.922106269,rl22,gene:SMU_2022,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
396,0.738707248,7.279849695,3.199955078,0.012565409,0.065760082,-2.936992885,oadB,gene:SMU_1017,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
398,-0.878454883,8.301409239,-3.188066867,0.012792396,0.066248216,-2.94716708,pyrE,gene:SMU_1221,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
400,0.816367569,9.927847421,3.129475738,0.013975677,0.068763117,-2.959575437,glgP,gene:SMU_1564,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
406,-0.826941223,7.060276173,-3.163620175,0.013272802,0.066975035,-2.976251423,fol,gene:SMU_839,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
412,1.018670627,9.275707516,3.134837912,0.013862762,0.068378076,-3.005659689,recU,gene:SMU_469,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
413,-1.054058902,9.292645953,-3.116395687,0.01425517,0.068934926,-3.007231218,rs13,gene:SMU_2003,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
419,-1.146452627,7.222036375,-3.11888739,0.014201479,0.068844027,-3.044882899,rs17,gene:SMU_2018,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
420,1.463309213,3.920466941,3.010831436,0.016736378,0.075910053,-3.054481146,lacC,gene:SMU_1494,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
421,-0.670137255,6.265953172,-3.091874141,0.014795024,0.070679376,-3.057131278,fic,gene:SMU_1207,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
424,0.682125724,8.990634248,3.108961018,0.014416636,0.069545286,-3.063139272,pfkB,gene:SMU_871,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
425,-0.940043134,9.068500748,-3.083804063,0.014977334,0.071205492,-3.072217339,if1,gene:SMU_2004,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
426,-0.624805921,5.969879756,-3.07085669,0.015274748,0.071754946,-3.073483867,dfp,gene:SMU_1075,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
427,0.942515363,3.555206684,2.985112641,0.017406591,0.076720613,-3.077228744,tracrRNA,gene:EBG00001213041,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
429,-0.960183504,10.14582366,-3.023982856,0.016404106,0.075032898,-3.090050402,lplA,gene:SMU_131,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
432,-0.601820658,7.823596078,-3.098113054,0.014655673,0.070354363,-3.093052933,opuBa,gene:SMU_1096,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
433,1.480075588,11.42005792,2.961937736,0.01803445,0.077557796,-3.093359595,pflA,gene:SMU_1692,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
434,-0.778370693,10.8609005,-2.980046722,0.017541868,0.076792356,-3.104539537,ftsH,gene:SMU_15,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
436,0.98781049,6.599155495,3.067078746,0.015362689,0.071996641,-3.115595796,msmR,gene:SMU_876,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
437,-1.10436384,6.204142294,-3.046597327,0.015848741,0.073575448,-3.117131602,rl29,gene:SMU_2019,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
441,-0.596216695,7.036196107,-3.048133535,0.015811733,0.073575448,-3.152380188,nusB,gene:SMU_1845,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
444,1.41039837,4.096247305,2.934029179,0.018821937,0.077852582,-3.176421249,lacD,gene:SMU_1493,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
445,-0.89163608,7.866012483,-3.039811622,0.016013293,0.073991165,-3.178127507,truA,gene:SMU_84,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
446,-0.539449791,6.833676982,-3.026186706,0.016349102,0.075032898,-3.180639841,potD,gene:SMU_976,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
448,-0.987435828,0.322857939,-2.793143152,0.023378217,0.089737787,-3.187660796,SMU_t38,gene:SMU_t38,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
449,1.532575116,10.05106409,2.964584757,0.01796156,0.077545202,-3.191941058,glgC,gene:SMU_1538,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
454,-1.210349714,8.253162737,-3.003675141,0.016920122,0.076001432,-3.221372492,rs3,gene:SMU_2021,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
457,0.648832584,9.750205108,2.958565919,0.018127744,0.077557796,-3.233219785,manA,gene:SMU_1839,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
460,0.937307654,8.562766215,2.998481143,0.017054798,0.076001432,-3.246340341,lytR,gene:SMU_576,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
461,-1.052819142,2.819538071,-2.84465889,0.021592547,0.085374941,-3.250698564,otcA,gene:SMU_262,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
462,-1.075232047,7.834537037,-2.987505948,0.01734306,0.076720613,-3.254456181,rl24,gene:SMU_2016,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
464,0.566271971,8.024484892,2.993848805,0.017175852,0.076324225,-3.256502696,pepQ,gene:SMU_1592,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
465,-0.837463944,7.980565727,-2.980054371,0.017541663,0.076792356,-3.269115802,pyrF,gene:SMU_1222,GSE90166,Bacteria,streptococcus mutans,UA159,HARV,RNAseq,0,6
